[Rooms:32]
300, 11.982244, 8.480013, 0
140, 11.974247, 8.428852, 0
180, 11.974773, 8.424895, 0
80, 11.974202, 8.425449, 0
80, 11.974148, 8.425388, 0
80, 11.974085, 8.42532, 0
80, 11.974009, 8.425272, 0
75, 11.975457, 8.426063, 0
75, 11.975526, 8.426147, 0
200, 11.974061, 8.424221, 0
240, 11.975408, 8.42547, 0
300, 11.967865, 8.421758, 0
300, 11.967962, 8.421441, 0
166, 11.974471, 8.42769, 0
215, 11.974471, 8.42769, 0
150, 11.972666, 8.430333, 0
150, 11.972927, 8.430259, 0
300, 11.972335, 8.42816, 0
300, 11.972666, 8.428419, 0
500, 11.981162, 8.480634, 0
1000, 11.973419, 8.427941, 0
130, 11.980138, 8.478857, 0
130, 11.980415, 8.478876, 0
200, 11.979682, 8.475918, 0
200, 11.979938, 8.47595, 0
250, 11.981135, 8.480911, 0
200, 11.979692, 8.478991, 0
200, 11.979901, 8.479002, 0
300, 11.974507, 8.425536, 0
300, 11.974735, 8.425714, 0
150, 11.979639, 8.477822, 0
150, 11.979312, 8.477801, 0
