24, 6
29, 10
35, 37
35, 1
10, 32
10, 19
25, 1
32, 31
29, 46
14, 9
15, 12
0, 37
34, 46
10, 46
5, 37
1, 21
7, 46
33, 46
25, 32
13, 46
10, 37
4, 46
27, 12
15, 37
18, 9
11, 32
20, 0
8, 46
34, 37
27, 21
25, 46
1, 9
20, 46
9, 37
20, 21
32, 0
14, 4
9, 32
12, 43
26, 30
5, 42
21, 22
14, 13
26, 11
9, 44
15, 31
28, 4
0, 32
6, 32
0, 37
9, 4
30, 31
18, 31
35, 31
10, 13
3, 38
24, 46
15, 46
4, 37
35, 13
30, 42
10, 15
15, 40
31, 11
5, 21
10, 0
28, 31
0, 32
9, 45
5, 32
22, 32
1, 39
34, 32
33, 2
1, 34
22, 30
21, 2
28, 32
3, 2
7, 15
13, 32
33, 31
10, 10
31, 9
0, 21
5, 10
10, 30
26, 46
15, 9
0, 12
26, 21
31, 19
9, 25
13, 31
21, 44
26, 14
20, 37
27, 21
35, 21
5, 9
0, 32
4, 20
21, 15
20, 37
0, 24
27, 15
15, 5
0, 43
12, 10
17, 9
27, 2
2, 45
18, 42
2, 2
23, 25
2, 39
3, 45
21, 8
13, 37
28, 29
23, 43
35, 29
7, 1
30, 12
27, 18
27, 22
14, 45
0, 30
22, 3
35, 5
27, 30
9, 28
32, 33
2, 21
21, 11
31, 46
16, 11
3, 4
21, 9
26, 13
4, 30
9, 43
32, 27
26, 30
26, 31
16, 31
35, 10
5, 3
28, 3
1, 32
18, 21
11, 31
29, 9
6, 9
32, 42
32, 33
23, 37
15, 46
29, 21
9, 9
8, 46
5, 46
17, 23
23, 32
17, 9
35, 30
0, 37
12, 37
25, 42
7, 0
25, 15
0, 32
17, 43
10, 32
5, 20
30, 21
21, 12
15, 21
8, 5
21, 47
23, 12
17, 9
0, 31
8, 12
10, 46
1, 46
24, 21
1, 13
35, 0
35, 5
15, 24
30, 46
2, 37
12, 21
9, 10
25, 14
21, 30
15, 4
22, 13
0, 12
14, 12
9, 30
15, 44
7, 30
2, 23
29, 24
23, 36
13, 46
24, 32
18, 25
35, 37
7, 9
17, 9
5, 32
23, 37
1, 46
30, 32
33, 45
29, 24
29, 29
29, 3
15, 19
15, 7
9, 36
9, 18
18, 26
0, 4
35, 7
12, 4
25, 19
30, 30
23, 24
33, 25
3, 6
3, 25
6, 40
6, 42
30, 25
27, 28
9, 8
9, 47
0, 2
18, 33
9, 24
3, 25
3, 15
23, 38
33, 27
13, 10
24, 18
35, 40
7, 29
5, 20
23, 27
30, 47
7, 12
12, 37
17, 45
17, 46
29, 46
35, 42
24, 32
1, 31
24, 14
23, 15
28, 42
12, 37
3, 13
18, 30
35, 41
31, 6
29, 27
35, 30
8, 30
30, 9
35, 3
1, 32
9, 3
14, 0
24, 42
29, 5
9, 9
2, 32
29, 32
17, 21
8, 32
29, 0
3, 32
18, 0
24, 4
35, 0
15, 31
8, 47
23, 32
30, 46
13, 42
1, 5
35, 34
1, 6
13, 15
7, 34
25, 39
31, 11
14, 19
2, 2
29, 28
34, 39
28, 44
22, 10
12, 43
16, 18
29, 36
8, 4
24, 11
24, 20
23, 22
8, 36
3, 37
17, 47
9, 1
29, 43
5, 12
12, 40
0, 32
10, 46
5, 37
35, 4
29, 5
34, 46
29, 9
3, 46
23, 46
35, 46
5, 30
5, 13
35, 12
0, 44
0, 32
14, 9
19, 42
24, 32
29, 8
15, 4
1, 0
12, 27
35, 37
3, 37
24, 37
7, 32
2, 3
26, 15
7, 0
22, 8
1, 21
8, 7
12, 9
23, 47
0, 47
16, 14
29, 41
27, 10
15, 37
22, 9
24, 1
34, 9
35, 32
35, 32
8, 32
11, 32
22, 46
35, 18
1, 6
25, 47
10, 6
27, 4
29, 32
5, 8
24, 28
3, 1
9, 37
16, 46
0, 44
35, 46
35, 23
35, 39
14, 42
11, 6
24, 26
14, 1
10, 1
24, 19
1, 27
28, 10
25, 41
31, 14
23, 32
28, 11
10, 33
28, 23
33, 32
13, 3
0, 42
25, 39
18, 47
7, 31
25, 30
2, 45
18, 45
3, 37
21, 31
8, 37
32, 46
4, 26
33, 21
23, 32
12, 8
12, 39
35, 37
24, 10
6, 10
18, 10
0, 12
11, 4
30, 23
29, 4
18, 42
5, 6
23, 32
17, 37
30, 46
0, 37
12, 30
6, 12
24, 5
18, 12
11, 42
35, 37
3, 8
25, 23
33, 4
15, 29
27, 37
0, 34
22, 21
29, 32
11, 32
17, 10
2, 42
10, 18
3, 47
35, 5
33, 32
13, 1
18, 21
3, 46
32, 46
32, 32
23, 37
23, 44
28, 36
15, 6
13, 13
23, 21
17, 32
0, 29
11, 37
35, 27
13, 9
5, 31
28, 41
15, 22
23, 15
16, 1
15, 20
27, 20
3, 46
13, 4
14, 9
17, 31
14, 42
13, 10
0, 10
30, 39
27, 3
29, 21
29, 30
29, 44
29, 7
5, 46
18, 9
27, 32
24, 9
22, 6
20, 23
15, 32
8, 42
8, 32
33, 32
27, 37
34, 30
3, 21
9, 23
29, 2
24, 6
5, 15
12, 25
11, 21
30, 4
5, 2
17, 13
35, 12
5, 24
30, 4
